,HBA,HBD,HBA+HBD,NumRings,RTB,NumAmideBonds,Globularity,PBF,TPSA,logP,MR,MW,Csp3,fmf,QED,HAC,NumRingsFused,unique_HBAD,max_ring_size,n_chiral_centers,fcsp3_bm,formal_charge,abs_charge
794,1,0,1,1,1,0,0.7101199210606466,0.6200899130858818,48.760000000000005,3.6472000000000007,40.250000000000014,187.12400000000005,0.14285714285714285,0.46153846153846156,0.36574621170056054,13,1,1,6,0,0.0,0,0
795,2,0,2,2,3,0,0.6386124632489486,1.0161802865320848,57.989999999999995,5.074100000000002,66.77400000000003,245.66900000000004,0.0,0.7647058823529411,0.42279443295049496,17,2,2,6,0,0.0,0,0
796,2,0,2,2,1,0,0.7023464494887465,0.5522876131296116,61.650000000000006,3.1766000000000014,50.549000000000014,170.17500000000004,0.0,0.7692307692307693,0.3679803916581159,13,1,2,6,0,0.0,0,0
797,1,0,1,2,2,0,0.622682418079982,1.0437855228305342,48.760000000000005,4.2954000000000025,60.68400000000003,195.22500000000005,0.0,0.8,0.38953089176061867,15,2,1,6,0,0.0,0,0
798,3,1,4,1,6,0,0.6148499488343032,0.8567937487362162,78.22000000000001,1.7366,51.95680000000003,193.20600000000007,0.3333333333333333,0.42857142857142855,0.4388052384192866,14,1,3,6,1,0.0,0,0
799,4,1,5,2,4,1,0.5886519615295612,1.1048388960011615,112.0,2.7471000000000014,76.34200000000003,302.31499999999977,0.0,0.8571428571428571,0.5318893359579182,21,2,5,6,0,0.0,0,0
800,4,1,5,1,4,1,0.6181507065251374,0.8835965639083354,112.0,1.4532,56.250500000000024,240.24400000000006,0.125,0.375,0.48970584786734084,16,1,5,6,0,0.0,0,0
801,5,1,6,2,4,0,0.6091544919566289,1.0729155515514996,120.71000000000001,2.2192,68.08850000000002,276.28099999999984,0.0,0.8421052631578947,0.5222991886547126,19,2,6,6,0,0.0,0,0
802,7,1,8,2,8,0,0.5556654276184022,1.392335220475973,139.17000000000002,2.2363999999999997,81.19250000000002,336.3329999999998,0.16666666666666666,0.6956521739130435,0.4871796792344113,23,2,8,6,0,0.0,0,0
803,7,1,8,2,8,0,0.5560055508062342,1.1140203613114386,139.17,2.2363999999999997,81.19250000000002,336.33299999999986,0.16666666666666666,0.6956521739130435,0.4871796792344113,23,2,8,6,0,0.0,0,0
804,6,1,7,2,6,0,0.5805426228784162,0.9754363535422464,129.94,2.2277999999999993,74.64050000000003,306.30699999999985,0.09090909090909091,0.7619047619047619,0.5138755413172319,21,2,7,6,0,0.0,0,0
805,6,1,7,2,5,0,0.6113972900609316,0.7537749247867329,120.71000000000001,2.5891200000000003,70.70250000000001,296.3369999999999,0.1111111111111111,0.7894736842105263,0.5290308407873886,19,2,7,6,0,0.0,0,0
806,6,1,7,2,6,0,0.5831850511405626,1.2423585110316102,129.94,2.2278000000000002,74.64050000000002,306.3069999999998,0.09090909090909091,0.7619047619047619,0.5138755413172319,21,2,7,6,0,0.0,0,0
807,3,0,3,1,4,0,0.6289522204971849,0.5323724353720808,75.06,2.8051000000000013,51.204500000000024,191.19000000000005,0.2222222222222222,0.42857142857142855,0.3185464996929147,14,1,3,6,0,0.0,0,0
808,3,0,3,1,3,0,0.5571327404772459,1.063096002379289,75.06,3.3797000000000024,64.17400000000004,233.2710000000001,0.4166666666666667,0.35294117647058826,0.34708771254642884,17,1,3,6,1,0.0,0,0
809,4,1,5,2,5,0,0.5873198550112289,1.0363680161622646,107.82,1.8233999999999997,70.94450000000003,277.3089999999998,0.18181818181818182,0.5263157894736842,0.3894311481439807,19,1,5,6,0,0.0,0,0
810,6,1,7,2,6,0,0.5856122842226924,1.2180330699769126,129.94,2.2278000000000002,74.64050000000002,306.30699999999985,0.09090909090909091,0.7619047619047619,0.5138755413172319,21,2,7,6,0,0.0,0,0
811,3,0,3,1,4,0,0.6442680244001385,0.7285062965372796,66.58,1.50182,40.97700000000002,151.1730000000001,0.5,0.45454545454545453,0.3664237236910211,11,1,3,5,0,0.0,0,0
812,2,1,3,0,5,0,0.6586887400065674,0.8984877722269299,68.99000000000001,1.0676,30.31079999999999,115.13599999999997,1.0,0.0,0.3261217153968999,8,0,2,0,0,0.0,0,0
813,1,0,1,1,3,0,0.6414729481369597,1.0175917926328828,48.760000000000005,3.057900000000001,44.00300000000002,147.18100000000007,0.25,0.5454545454545454,0.3504398194692638,11,1,1,6,1,0.0,0,0
814,3,0,3,0,7,0,0.5757045470494134,0.8734653649667408,75.06,2.0285,44.47500000000002,171.2000000000001,0.8571428571428571,0.0,0.2806408892821687,12,0,3,0,0,0.0,0,0
815,2,1,3,2,1,0,0.7535044134475193,0.2051147722411684,77.44,3.2672000000000008,52.599700000000006,238.04800000000003,0.0,0.6923076923076923,0.4614674372216476,13,1,3,6,0,0.0,0,0
